讀數,2.3mm,2.0mm,1.8mm,1.7mm,1.6mm,1.5mm
0,2198.5,3412.9,6261.1,3568.7,0.0,1500.6
1,1968.3,3026.7,5485.4,3090.1,0.0,1281.6
2,1754.3,2670.8,4776.6,2656.5,0.0,1085.2
3,1556.1,2343.8,4131.8,2265.8,0.0,910.3
4,1373.0,2044.7,3548.0,1915.7,0.0,755.7
5,1204.5,1772.2,3022.1,1604.1,0.0,620.2
6,1050.0,1525.2,2551.2,1328.7,0.0,502.6
7,908.9,1302.3,2132.4,1087.4,0.0,401.6
8,780.7,1102.4,1762.5,877.9,0.0,316.1
9,664.7,924.3,1438.6,698.1,0.0,244.8
10,560.5,766.7,1157.7,545.7,0.0,186.6
11,467.3,628.5,916.7,418.5,0.0,140.2
12,384.7,508.5,712.8,314.4,0.0,104.5
13,312.0,405.4,542.8,231.1,0.0,78.2
14,248.8,318.0,403.9,166.4,9.7,60.1
15,194.3,245.2,292.9,118.1,19.1,49.0
16,148.1,185.6,206.9,84.1,27.1,43.8
17,109.5,138.2,143.0,62.0,33.8,43.2
18,78.0,101.6,98.0,49.8,39.7,46.0
19,53.0,74.8,69.0,45.2,45.0,51.0
20,33.9,56.3,53.0,46.0,50.0,57.0
21,20.2,45.2,47.0,50.0,55.0,63.0
22,11.2,40.1,48.0,55.0,60.0,69.0
23,6.5,39.8,53.0,60.0,65.0,76.0
24,5.3,43.2,59.0,68.0,73.0,85.0
25,7.2,49.0,65.0,79.0,83.0,95.0
26,11.5,56.0,75.0,90.0,94.0,106.0
27,17.8,63.0,85.0,102.0,105.0,122.0
28,25.3,70.0,96.0,114.0,119.0,136.0
29,33.6,80.0,110.0,131.0,138.0,156.0
30,42.0,90.0,125.0,150.0,157.0,194.9
31,50.0,100.0,141.0,169.0,169.3,265.5
32,57.0,120.0,160.0,187.0,168.1,380.8
33,64.0,140.0,184.3,202.9,146.7,553.6
34,77.0,160.0,216.3,215.7,98.5,796.7
35,95.0,184.3,258.2,224.5,16.6,1123.2
36,110.0,217.1,312.4,228.1,0.0,1545.8
37,134.0,262.8,381.2,225.6,0.0,2077.4
38,157.0,325.7,466.9,215.8,0.0,2730.9
39,161.6,409.9,571.9,197.9,0.0,3519.2
40,130.3,519.9,698.5,170.8,0.0,4455.1
41,45.8,659.8,848.9,133.3,0.0,5551.6
42,0.0,834.0,1025.5,84.6,0.0,6821.5
43,0.0,1046.7,1230.7,23.6,0.0,8277.7
44,0.0,1302.3,1466.7,0.0,0.0,9933.1
45,0.0,1605.0,1735.8,0.0,0.0,11800.5
