讀數,2.3mm,2.0mm,1.8mm,1.7mm,1.6mm,1.5mm
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,46.0
19,,,,,45.2,51.2
20,,,,46.0,49.9,56.9
21,,,,49.9,54.7,62.8
22,,,48.1,54.8,59.9,69.0
23,,,52.9,60.5,65.6,76.2
24,,,58.8,68.4,73.3,84.9
25,,49.1,65.5,78.5,82.7,95.0
26,,55.9,74.8,89.5,93.4,106.4
27,,62.8,84.9,101.7,105.2,121.3
28,,70.1,96.2,114.8,119.5,136.4
29,,79.6,109.9,131.3,137.6,155.9
30,42.5,89.9,124.9,149.7,157.1,
31,49.3,101.5,141.2,169.0,,
32,56.5,119.4,159.9,,,
33,64.9,139.0,,,,
34,77.5,160.6,,,,
35,94.1,,,,,
36,110.6,,,,,
37,133.3,,,,,
38,157.3,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
