Diameter_mm,Reading,Actual_Tension,Interpolation_Tension,Regression_Tension,Interp_Error,Reg_Error
2.3,30.0,42.0,42.0,42.91,0.0,0.91
2.3,31.0,50.0,50.0,48.5,0.0,1.5
2.3,32.0,57.0,57.0,56.05,0.0,0.95
2.3,33.0,64.0,64.0,65.82,0.0,1.82
2.3,34.0,77.0,77.0,78.09,0.0,1.09
2.3,35.0,95.0,95.0,93.14,0.0,1.86
2.3,36.0,110.0,110.0,111.23,0.0,1.23
2.3,37.0,134.0,134.0,132.64,0.0,1.36
2.3,38.0,157.0,157.0,157.64,0.0,0.64
2.0,25.0,49.0,49.0,49.27,0.0,0.27
2.0,26.0,56.0,56.0,55.83,0.0,0.17
2.0,27.0,63.0,63.0,62.65,0.0,0.35
2.0,28.0,70.0,70.0,70.26,0.0,0.26
2.0,29.0,80.0,80.0,79.17,0.0,0.83
2.0,30.0,90.0,90.0,89.89,0.0,0.11
2.0,31.0,100.0,100.0,102.93,0.0,2.93
2.0,32.0,120.0,120.0,118.81,0.0,1.19
2.0,33.0,140.0,140.0,138.05,0.0,1.95
2.0,34.0,160.0,160.0,161.15,0.0,1.15
1.8,22.0,48.0,48.0,48.15,0.0,0.15
1.8,23.0,53.0,53.0,52.75,0.0,0.25
1.8,24.0,59.0,59.0,58.65,0.0,0.35
1.8,25.0,65.0,65.0,65.91,0.0,0.91
1.8,26.0,75.0,75.0,74.59,0.0,0.41
1.8,27.0,85.0,85.0,84.75,0.0,0.25
1.8,28.0,96.0,96.0,96.45,0.0,0.45
1.8,29.0,110.0,110.0,109.76,0.0,0.24
1.8,30.0,125.0,125.0,124.72,0.0,0.28
1.8,31.0,141.0,141.0,141.41,0.0,0.41
1.8,32.0,160.0,160.0,159.87,0.0,0.13
1.7,20.0,46.0,46.0,46.02,0.0,0.02
1.7,21.0,50.0,50.0,49.72,0.0,0.28
1.7,22.0,55.0,55.0,54.7,0.0,0.3
1.7,23.0,60.0,60.0,61.04,0.0,1.04
1.7,24.0,68.0,68.0,68.81,0.0,0.81
1.7,25.0,79.0,79.0,78.07,0.0,0.93
1.7,26.0,90.0,90.0,88.9,0.0,1.1
1.7,27.0,102.0,102.0,101.37,0.0,0.63
1.7,28.0,114.0,114.0,115.55,0.0,1.55
1.7,29.0,131.0,131.0,131.5,0.0,0.5
1.7,30.0,150.0,150.0,149.3,0.0,0.7
1.7,31.0,169.0,169.0,169.02,0.0,0.02
1.6,19.0,45.0,45.0,45.31,0.0,0.31
1.6,20.0,50.0,50.0,49.71,0.0,0.29
1.6,21.0,55.0,55.0,54.46,0.0,0.54
1.6,22.0,60.0,60.0,59.84,0.0,0.16
1.6,23.0,65.0,65.0,66.1,0.0,1.1
1.6,24.0,73.0,73.0,73.52,0.0,0.52
1.6,25.0,83.0,83.0,82.36,0.0,0.64
1.6,26.0,94.0,94.0,92.89,0.0,1.11
1.6,27.0,105.0,105.0,105.36,0.0,0.36
1.6,28.0,119.0,119.0,120.06,0.0,1.06
1.6,29.0,138.0,138.0,137.23,0.0,0.77
1.6,30.0,157.0,157.0,157.15,0.0,0.15
1.5,18.0,46.0,46.0,45.9,0.0,0.1
1.5,19.0,51.0,51.0,51.35,0.0,0.35
1.5,20.0,57.0,57.0,56.83,0.0,0.17
1.5,21.0,63.0,63.0,62.63,0.0,0.37
1.5,22.0,69.0,69.0,69.05,0.0,0.05
1.5,23.0,76.0,76.0,76.37,0.0,0.37
1.5,24.0,85.0,85.0,84.9,0.0,0.1
1.5,25.0,95.0,95.0,94.92,0.0,0.08
1.5,26.0,106.0,106.0,106.72,0.0,0.72
1.5,27.0,122.0,122.0,120.62,0.0,1.38
1.5,28.0,136.0,136.0,136.89,0.0,0.89
1.5,29.0,156.0,156.0,155.82,0.0,0.18
